"City","State","Locations","Packages","Internets","TVs"
"Baldwinsville","New York","[1747739]","[15902458]","[12701666]","[13998768]"
"Sparks","Nevada","[13014984]","[15905330]","[12703061]","[13992949]"
"Mount Vernon","New York","[1457235]","[15902680]","[12701710]","[13997396]"
"Richlands","Virginia","[1747572]","[15899625]","[12704054]","[13995094]"
"Newport","Oregon","[5825937]","[15905961]","[12703123]","[13999096]"
"Coronado","California","[1747541]","[15898576]","[12703424]","[13992821]"
"Delafield","Wisconsin","[15676929]","[15898225]","[12704841]","[13999866]"
"McMinnville","Tennessee","[5826034]","[]","[]","[]"
"Duluth","Minnesota","[5825919]","[15897453]","[12704759]","[13998176]"
"Chillicothe","Ohio","[1747670]","[15900973]","[12701841]","[13998793]"
"Watsonville","California","[5826133]","[15897096]","[12702986]","[13994069]"
"Great Falls","Montana","[5825985]","[15900929]","[12698709]","[13997130]"
"Kalispell","Montana","[15058580]","[15899321]","[12704186]","[13992016]"
"Arlington","Texas","[13323385,14848359]","[15903374]","[12701417]","[13995362]"
"Chatsworth","California","[1747760]","[15903118]","[12701183]","[13994333]"
"Fort Hood","Texas","[1457174]","[15897933]","[12703603]","[13997761]"
"Marinette","Wisconsin","[1747683]","[15896864]","[12701211]","[13994403]"
"Hastings","Nebraska","[5826051]","[15897681]","[12698873]","[13998210]"
"Union Gap","Washington","[14970101]","[15900575]","[13139891]","[13992333]"
"Oxnard","California","[1747738]","[15906257]","[12703460]","[14000794]"
"Coldwater","Michigan","[5826165]","[15904779]","[12704754]","[13990488]"
"Lewisville","Texas","[11558188]","[15899849]","[12704279]","[13993978]"
"Lecanto","Florida","[5826074]","[15901069]","[12700868]","[13992464]"
"Kyle","Texas","[13861169]","[15902890]","[12704858]","[13995879]"
"Pittsfield","Massachusetts","[1747686]","[15897592]","[12702970]","[13995079]"
"Clermont","Florida","[12829063]","[15898121]","[12701512]","[13995612]"
"Kingston","New York","[1747570]","[15905863]","[12702951]","[13994602]"
"Erie","Pennsylvania","[1457162,1457163]","[15899745]","[12698858]","[14000082]"
"Culver City","California","[1747726]","[15904424]","[12702510]","[13996885]"
"Saranac Lake","New York","[1747704]","[15897951]","[12701987]","[13998494]"
"Buffalo","New York","[1747678]","[15901841]","[12702587]","[13993445]"
"Jurupa Valley","California","[11585354]","[15902217]","[12942897]","[13998638]"
"Carlsbad","California","[14191386]","[15902642]","[12703758]","[13996024]"
"Chicopee","Massachusetts","[5826140]","[15900131]","[12699516]","[13995184]"
"Morganton","North Carolina","[5825952]","[15906642]","[12700383]","[13995266]"
"Windham","Maine","[1457292]","[15900423]","[12702741]","[13997473]"
"Ogdensburg","New York","[1747521]","[15903222]","[12703128]","[13999102]"
"Redding","California","[15987607]","[15900089]","[12700811]","[13993353]"
"Henderson","North Carolina","[1457191]","[15901217]","[12700528]","[13999042]"
"Del Rio","Texas","[1457148]","[15899196]","[12699357]","[13997747]"
"Cincinnati","Ohio","[1457186,1747673,12335213,12414882]","[15899166]","[12703174]","[13996659]"
"Gastonia","North Carolina","[1747622]","[15906101]","[12700613]","[13993721]"
"Greendale","Wisconsin","[1457270]","[15897191]","[12702438]","[13998624]"
"Waco","Texas","[1747624]","[15903115]","[12705064]","[13994274]"
"Vestal","New York","[1457130]","[15901406]","[12700582]","[13996400]"
"Canal Winchester","Ohio","[13190693]","[15906624]","[12703671]","[13994543]"
"Florence","Kentucky","[12979809]","[15903853]","[12703023]","[13993484]"
"Webster","Massachusetts","[5825939]","[15906660]","[12700831]","[13996189]"
"Hornell","New York","[1457199]","[15904896]","[12702442]","[13995234]"
"Cookeville","Tennessee","[12670133]","[15901696]","[12701592]","[13997949]"
"Winston-Salem","North Carolina","[1457294,14722859]","[]","[]","[]"
"Kaunakakai","Hawaii","[1742545]","[15903751]","[12699798]","[14000123]"
"Traverse City","Michigan","[5826068]","[15900577]","[12701654]","[13992541]"
"Lynwood","California","[2069567]","[15896967]","[12701457]","[13999724]"
"Shelby","North Carolina","[1747560]","[15899150]","[12703228]","[13995734]"
"Durham","North Carolina","[1457151]","[15904495]","[12704918]","[14000075]"
"Brandon","Florida","[12508765]","[15905652]","[12703254]","[13996231]"
"Clarksville","Tennessee","[5826026]","[15904728]","[12704001]","[13999652]"
"Irwindale","California","[5826134]","[15906371]","[13141354]","[13994178]"
"Oneonta","New York","[1747561]","[15896787]","[12698809]","[13991433]"
"Columbia","Missouri","[5825916]","[15897275]","[12702346]","[13991119]"
"Auburn","Alabama","[5825913]","[15905819]","[12704161]","[13992574]"
"Centralia","Illinois","[5825983]","[15904626]","[12699933]","[13994963]"
"York","Nebraska","[1457296]","[15905173]","[12701413]","[13996625]"
"Newport","Kentucky","[1747604]","[15896888]","[12700802]","[13996336]"
"High Point","North Carolina","[1457194]","[15903376]","[12700531]","[13995440]"
"Banning","California","[1747660]","[15903418]","[12698931]","[13997070]"
"Beaumont","Texas","[1457127]","[15906908]","[12699675]","[14000888]"
"Morristown","Tennessee","[5826065]","[15903240]","[12700637]","[13999948]"
"San Diego","California","[1457262,14820121]","[15901766]","[12700981]","[14001042]"
"New York","New York","[1457115,1457116,2153123,3313536,5826123,11099417,14722780,15057999,15091758,16007516]","[15904563]","[12702298]","[13992272]"
"Tullahoma","Tennessee","[5826044]","[15899174]","[12701073]","[13996820]"
"Mount Airy","North Carolina","[1457234]","[15898674]","[12702795]","[13997394]"
"Grand Junction","Colorado","[5826066]","[15899611]","[12700779]","[13994573]"
"Marion","Ohio","[1747592]","[15903230]","[12699720]","[13999504]"
"Columbia","South Carolina","[1457241,1747531,14922591]","[15900918]","[12699435]","[13996462]"
"Decatur","Alabama","[5826016]","[15898077]","[12699686]","[13993707]"
"Scottsbluff","Nebraska","[5825974]","[15902681]","[12700570]","[13997434]"
"Hammond","Louisiana","[12635263]","[15900242]","[12699454]","[13999704]"
"Davison","Michigan","[5826179]","[15898681]","[12704008]","[13997539]"
"San Fernando","California","[15091583]","[15898151]","[12702723]","[13996791]"
"Palm Springs","California","[1457245]","[15901913]","[12701718]","[13996769]"
"Mesquite","Texas","[1747584]","[15897759]","[12701048]","[13990575]"
"McAllen","Texas","[1457247]","[]","[]","[]"
"Plattsburgh","New York","[5826167]","[15898819]","[12699980]","[13992076]"
"North Olmsted","Ohio","[1747640]","[15900864]","[12698897]","[13994222]"
"Lancaster","California","[11833578]","[15903856]","[12700627]","[13993752]"
"Henderson","Kentucky","[2069566]","[15905297]","[12704019]","[13991799]"
"Fort Worth","Texas","[11200690,11286705,11585180,12922337,15968201]","[15901938]","[12704681]","[13997974]"
"Cheektowaga","New York","[1457137]","[15906838]","[13139695]","[13994758]"
