City,State,Locations,OTHER_TYPE
Baldwinsville,New York,"[1747739]","[12701666]"
Sparks,Nevada,"[13014984]","[12703061]"
Mount Vernon,New York,"[1457235]","[12701710]"
Richlands,Virginia,"[1747572]","[12704054]"
Newport,Oregon,"[5825937]","[12703123]"
Coronado,California,"[1747541]","[12703424]"
Delafield,Wisconsin,"[15676929]","[12704841]"
Duluth,Minnesota,"[5825919]","[12704759]"
Chillicothe,Ohio,"[1747670]","[12701841]"
Watsonville,California,"[5826133]","[12702986]"
Great Falls,Montana,"[5825985]","[12698709]"
Kalispell,Montana,"[15058580]","[12704186]"
Arlington,Texas,"[13323385,14848359]","[12701417]"
Chatsworth,California,"[1747760]","[12701183]"
Fort Hood,Texas,"[1457174]","[12703603]"
Marinette,Wisconsin,"[1747683]","[12701211]"
Hastings,Nebraska,"[5826051]","[12698873]"
Union Gap,Washington,"[14970101]","[13139891]"
Oxnard,California,"[1747738]","[12703460]"
Coldwater,Michigan,"[5826165]","[12704754]"
Lewisville,Texas,"[11558188]","[12704279]"
Lecanto,Florida,"[5826074]","[12700868]"
Kyle,Texas,"[13861169]","[12704858]"
Pittsfield,Massachusetts,"[1747686]","[12702970]"
Clermont,Florida,"[12829063]","[12701512]"
Kingston,New York,"[1747570]","[12702951]"
Erie,Pennsylvania,"[1457162,1457163]","[12698858]"
Culver City,California,"[1747726]","[12702510]"
Saranac Lake,New York,"[1747704]","[12701987]"
Buffalo,New York,"[1747678]","[12702587]"
Jurupa Valley,California,"[11585354]","[12942897]"
Carlsbad,California,"[14191386]","[12703758]"
Chicopee,Massachusetts,"[5826140]","[12699516]"
Morganton,North Carolina,"[5825952]","[12700383]"
Windham,Maine,"[1457292]","[12702741]"
Ogdensburg,New York,"[1747521]","[12703128]"
Redding,California,"[15987607]","[12700811]"
Henderson,North Carolina,"[1457191]","[12700528]"
Del Rio,Texas,"[1457148]","[12699357]"
Cincinnati,Ohio,"[1457186,1747673,12335213,12414882]","[12703174]"
Gastonia,North Carolina,"[1747622]","[12700613]"
Greendale,Wisconsin,"[1457270]","[12702438]"
Waco,Texas,"[1747624]","[12705064]"
Vestal,New York,"[1457130]","[12700582]"
Canal Winchester,Ohio,"[13190693]","[12703671]"
Florence,Kentucky,"[12979809]","[12703023]"
Webster,Massachusetts,"[5825939]","[12700831]"
Hornell,New York,"[1457199]","[12702442]"
Cookeville,Tennessee,"[12670133]","[12701592]"
Kaunakakai,Hawaii,"[1742545]","[12699798]"
Traverse City,Michigan,"[5826068]","[12701654]"
Lynwood,California,"[2069567]","[12701457]"
Shelby,North Carolina,"[1747560]","[12703228]"
