"Entity ID","Yext ID","Entity Type","Address > City","Address > Region","City or Region","State Name"
"1007","1457115","Location","New York","NY","",""
"1001","1457116","Location","New York","NY","",""
"6316","1457117","Location","Akron","OH","",""
"3400","1457120","Location","Williamsville","NY","",""
"6600","1457121","Location","Appleton","WI","",""
"3200","1457122","Location","Auburn","NY","",""
"3602","1457125","Location","Bangor","ME","",""
"3402","1457126","Location","Batavia","NY","",""
"2253","1457127","Location","Beaumont","TX","",""
"4063","1457129","Location","Torrance","CA","",""
"3202","1457130","Location","Vestal","NY","",""
"3403","1457132","Location","Brockport","NY","",""
"3405","1457137","Location","Cheektowaga","NY","",""
"4250","1457139","Location","Coeur d'Alene","ID","",""
"3009","1457140","Location","Albany","NY","",""
"6570","1457141","Location","Columbus","OH","",""
"6001","1457142","Location","Columbus","NE","",""
"6571","1457143","Location","Corbin","KY","",""
"4012","1457144","Location","Corona","CA","",""
"6158","1457147","Location","Defiance","OH","",""
"2504","1457148","Location","Del Rio","TX","",""
"5762","1457150","Location","Dothan","AL","",""
"5454","1457151","Location","Durham","NC","",""
"3407","1457153","Location","East Rochester","NY","",""
"1501","1457158","Location","Ellenville","NY","",""
"3205","1457159","Location","Horseheads","NY","",""
"5163","1457161","Location","Enterprise","AL","",""
"6306","1457162","Location","Erie","PA","",""
"6307","1457163","Location","Erie","PA","",""
"6003","1457165","Location","Falls City","NE","",""
"5164","1457170","Location","Fort Rucker","AL","",""
"6308","1457171","Location","Franklin","PA","",""
"6004","1457173","Location","Fremont","NE","",""
"2003","1457174","Location","Fort Hood","TX","",""
"5611","1457175","Location","Garden City","SC","",""
"3408","1457177","Location","Geneva","NY","",""
"6457","1457179","Location","Georgetown","KY","",""
"4065","1457180","Location","Glendora","CA","",""
"3604","1457183","Location","Gorham","NH","",""
"6458","1457186","Location","Cincinnati","OH","",""
"5455","1457191","Location","Henderson","NC","",""
"6310","1457192","Location","Hermitage","PA","",""
"4502","1457193","Location","Hickam AFB","HI","",""
"5160","1457194","Location","High Point","NC","",""
"4503","1457196","Location","Hilo","HI","",""
"5622","1457197","Location","Hilton Head","SC","",""
"6578","1457198","Location","Hopkinsville","KY","",""
"3207","1457199","Location","Hornell","NY","",""
"5004","1457200","Location","Huntersville","NC","",""
